scenario,phase,type,location,n,mean_improvement_att,std_improvement_att,min_improvement_att,max_improvement_att,p95_improvement_att,mean_improvement_CEF,std_improvement_CEF,min_improvement_CEF,max_improvement_CEF,p95_improvement_CEF,mean_improvement_CEF2,std_improvement_CEF2,min_improvement_CEF2,max_improvement_CEF2,p95_improvement_CEF2,mean_improvement_exposure,std_improvement_exposure,min_improvement_exposure,max_improvement_exposure,p95_improvement_exposure,mean_improvement_dun,std_improvement_dun,min_improvement_dun,max_improvement_dun,p95_improvement_dun,mean_improvement_cost,std_improvement_cost,min_improvement_cost,max_improvement_cost,p95_improvement_cost,mean_improvement_energy,std_improvement_energy,min_improvement_energy,max_improvement_energy,p95_improvement_energy,mean_reward,std_reward,min_reward,max_reward,p95_reward
S1_service,held_out,link_failure,any_road,21,-0.004641225593184874,0.05198524857858096,-0.22191979328810466,0.023628569276616267,0.023390730593687563,0.10751405222883458,0.08209899978221209,0.050503179403177646,0.3858176273995703,0.2051080964207872,0.06535854545630729,0.08866665743790939,0.004864372705811497,0.3715895695811989,0.21537241312510905,-0.00924280705255232,0.06595171014206504,-0.19725628631130931,0.09852040912963368,0.08862438943476582,0.6256627616107087,0.4213475571014718,0.0,1.0,1.0,-0.06900351189359996,0.025849372124932875,-0.1342371417489942,-0.04735792761838591,-0.04735792761838591,,,,,,0.19123826185523068,0.141325102102693,0.07940155550271975,0.5640463435611041,0.4532379421309624
S1_service,held_out,node_removal,central,3,-0.08463683855307408,0.07964929191679213,-0.19721993193861467,-0.025214817922297655,-0.025214817922297655,0.2659675744122228,0.05729369223627949,0.21604120780712008,0.3461971054619153,0.3461971054619153,0.2637669417623261,0.0716627668604267,0.18972866226706267,0.3607200293873816,0.3607200293873816,-0.11487343723732207,0.13117668301658578,-0.3001955435464167,-0.014948023428098773,-0.014948023428098773,1.0,0.0,1.0,1.0,1.0,-0.10150409739709838,0.011648642058391076,-0.1141384782034823,-0.08603182048769391,-0.08603182048769391,,,,,,0.5099999017404508,0.03061115008222456,0.48012114414468,0.5520687598447032,0.5520687598447032
S1_service,held_out,demand_surge,central_area,2,0.03661531020936218,0.0,0.03661531020936218,0.03661531020936218,0.03661531020936218,0.015383753271994621,0.0,0.015383753271994621,0.015383753271994621,0.015383753271994621,0.0002964329219773513,0.0,0.0002964329219773513,0.0002964329219773513,0.0002964329219773513,-0.033020491030535865,0.0,-0.033020491030535865,-0.033020491030535865,-0.033020491030535865,,,,,,-0.049733549347405065,0.0,-0.049733549347405065,-0.049733549347405065,-0.049733549347405065,,,,,,0.038842633634558414,0.0,0.038842633634558414,0.038842633634558414,0.038842633634558414
S1_service,held_out,node_removal,peripheral,3,-0.1053388335417242,0.10550518803138147,-0.2488947680864242,0.0016639445186782237,0.0016639445186782237,0.2146001511930902,0.07174837627233467,0.12387738617251479,0.29931606554967066,0.29931606554967066,0.14476093008554838,0.0964371719021216,0.04004031372022713,0.27278752248892013,0.27278752248892013,0.05064050250397262,0.04657354014236817,-0.013242750691830221,0.09646879295356568,0.09646879295356568,0.9033130624826381,0.13673597834137308,0.7099391874479146,1.0,1.0,-0.12684851021434201,0.02003572133611776,-0.15430971890533526,-0.10707169158963444,-0.10707169158963444,,,,,,0.3071432470732723,0.0851420403216299,0.1988482032068959,0.40687462745086805,0.40687462745086805
S1_service,held_out,combined_disruption,any_road + peripheral_area,1,-0.012469361121554582,0.0,-0.012469361121554582,-0.012469361121554582,-0.012469361121554582,0.18103074695427734,0.0,0.18103074695427734,0.18103074695427734,0.18103074695427734,0.1290622013786422,0.0,0.1290622013786422,0.1290622013786422,0.1290622013786422,0.08094769149668685,0.0,0.08094769149668685,0.08094769149668685,0.08094769149668685,1.0,0.0,1.0,1.0,1.0,-0.0750131487304638,0.0,-0.0750131487304638,-0.0750131487304638,-0.0750131487304638,,,,,,0.3722307849412979,0.0,0.3722307849412979,0.3722307849412979,0.3722307849412979
S1_service,held_out,combined_disruption,central + peripheral_area,1,-0.20368272638243226,0.0,-0.20368272638243226,-0.20368272638243226,-0.20368272638243226,0.40174057929377077,0.0,0.40174057929377077,0.40174057929377077,0.40174057929377077,0.41718224056570713,0.0,0.41718224056570713,0.41718224056570713,0.41718224056570713,-0.08974348587859837,0.0,-0.08974348587859837,-0.08974348587859837,-0.08974348587859837,1.0,0.0,1.0,1.0,1.0,-0.13385625119167327,0.0,-0.13385625119167327,-0.13385625119167327,-0.13385625119167327,,,,,,0.6642710641693037,0.0,0.6642710641693037,0.6642710641693037,0.6642710641693037
S1_service,held_out,combined_disruption,peripheral_area + any_road,2,-0.008073156035308067,0.011123780450117448,-0.019196936485425514,0.0030506244148093813,0.0030506244148093813,0.07259594268979155,0.02239740923802896,0.050198533451762596,0.09499335192782052,0.09499335192782052,0.03537883685145656,0.01279211627478799,0.02258672057666857,0.04817095312624455,0.04817095312624455,0.032310819459111365,0.034508745906370764,-0.0021979264472594,0.06681956536548213,0.06681956536548213,1.0,0.0,1.0,1.0,1.0,-0.09774753408399817,0.012083098475118473,-0.10983063255911664,-0.0856644356088797,-0.0856644356088797,,,,,,0.13396664549830584,0.034451096734601026,0.09951554876370482,0.16841774223290687,0.16841774223290687
S1_service,held_out,area_closure,peripheral_area,2,-0.07305501276425357,0.07736928788050677,-0.15042430064476034,0.00431427511625322,0.00431427511625322,0.25431133996390026,0.14986197323817252,0.10444936672572777,0.4041733132020728,0.4041733132020728,0.1775950730080112,0.12958296573093842,0.04801210727707277,0.3071780387389496,0.3071780387389496,0.03704126192370044,0.00020578581053730394,0.03683547611316314,0.037247047734237745,0.037247047734237745,0.6136357002471347,0.38636429975286535,0.22727140049426928,1.0,1.0,-0.2267655410691481,0.07991289087691429,-0.30667843194606237,-0.14685265019223379,-0.14685265019223379,,,,,,0.40027692494399214,0.2084907135136718,0.19178621143032032,0.6087676384576639,0.6087676384576639
S1_service,held_out,combined_disruption,any_road + central_area,2,0.027827716458549534,0.008787593750812643,0.019040122707736893,0.03661531020936218,0.03661531020936218,0.06948008402176681,0.054096330749772194,0.015383753271994621,0.12357641477153901,0.12357641477153901,0.020675212066051434,0.020378779144074086,0.0002964329219773513,0.04105399121012552,0.04105399121012552,-0.007872826947500682,0.025147664083035183,-0.033020491030535865,0.0172748371355345,0.0172748371355345,1.0,0.0,1.0,1.0,1.0,-0.08848356922741084,0.03875001988000577,-0.1272335891074166,-0.049733549347405065,-0.049733549347405065,,,,,,0.1320663401815319,0.09322370654697348,0.038842633634558414,0.2252900467285054,0.2252900467285054
S1_service,held_out,area_closure,central_area,2,-0.07822531366492037,0.07822531366492037,-0.15645062732984075,0.0,0.0,0.29611490949661295,0.29611490949661295,0.0,0.5922298189932259,0.5922298189932259,0.32740002133717044,0.32740002133717044,0.0,0.6548000426743409,0.6548000426743409,-0.06222846245196474,0.06222846245196474,-0.12445692490392948,0.0,0.0,0.5,0.5,0.0,1.0,1.0,-0.0864505976541465,0.0864505976541465,-0.172901195308293,0.0,0.0,,,,,,0.48246844146770956,0.48246844146770956,0.0,0.9649368829354191,0.9649368829354191
