scenario,phase,action,n,mean_improvement_att,std_improvement_att,min_improvement_att,max_improvement_att,p95_improvement_att,mean_improvement_CEF,std_improvement_CEF,min_improvement_CEF,max_improvement_CEF,p95_improvement_CEF,mean_improvement_CEF2,std_improvement_CEF2,min_improvement_CEF2,max_improvement_CEF2,p95_improvement_CEF2,mean_improvement_exposure,std_improvement_exposure,min_improvement_exposure,max_improvement_exposure,p95_improvement_exposure,mean_improvement_dun,std_improvement_dun,min_improvement_dun,max_improvement_dun,p95_improvement_dun,mean_improvement_cost,std_improvement_cost,min_improvement_cost,max_improvement_cost,p95_improvement_cost,mean_improvement_energy,std_improvement_energy,min_improvement_energy,max_improvement_energy,p95_improvement_energy,mean_reward,std_reward,min_reward,max_reward,p95_reward
S1_service,calibration,greedy:corridor_relief+emergency_bus_bridge,1,0.02316593864612633,0.0,0.02316593864612633,0.02316593864612633,0.02316593864612633,0.05587909778626464,0.0,0.05587909778626464,0.05587909778626464,0.05587909778626464,0.006890874756675261,0.0,0.006890874756675261,0.006890874756675261,0.006890874756675261,-0.006389478899522153,0.0,-0.006389478899522153,-0.006389478899522153,-0.006389478899522153,0.0,0.0,0.0,0.0,0.0,-0.0631412361950574,0.0,-0.0631412361950574,-0.0631412361950574,-0.0631412361950574,,,,,,0.09214840596558008,0.0,0.09214840596558008,0.09214840596558008,0.09214840596558008
S1_service,calibration,greedy:coverage_restoration,1,-0.05816297345136402,0.0,-0.05816297345136402,-0.05816297345136402,-0.05816297345136402,0.7424459764411879,0.0,0.7424459764411879,0.7424459764411879,0.7424459764411879,0.6750512611365153,0.0,0.6750512611365153,0.6750512611365153,0.6750512611365153,0.10907494747641056,0.0,0.10907494747641056,0.10907494747641056,0.10907494747641056,0.8242697450074508,0.0,0.8242697450074508,0.8242697450074508,0.8242697450074508,-0.3122489957604874,0.0,-0.3122489957604874,-0.3122489957604874,-0.3122489957604874,,,,,,0.9360648901652615,0.0,0.9360648901652615,0.9360648901652615,0.9360648901652615
S1_service,calibration,greedy:coverage_restoration+redundant_overlay_line,1,-0.004322819864070093,0.0,-0.004322819864070093,-0.004322819864070093,-0.004322819864070093,0.06867281442733957,0.0,0.06867281442733957,0.06867281442733957,0.06867281442733957,0.047106733450093724,0.0,0.047106733450093724,0.047106733450093724,0.047106733450093724,-0.03880967289977603,0.0,-0.03880967289977603,-0.03880967289977603,-0.03880967289977603,0.5315977878972266,0.0,0.5315977878972266,0.5315977878972266,0.5315977878972266,-0.046959331404094716,0.0,-0.046959331404094716,-0.046959331404094716,-0.046959331404094716,,,,,,0.1455737007108694,0.0,0.1455737007108694,0.1455737007108694,0.1455737007108694
S1_service,held_out,greedy:continuity_repair+redundant_overlay_line,20,-0.03314627301138201,0.07651320649776033,-0.2488947680864242,0.01909276284876279,0.019040122707736893,0.1678026876162632,0.13070254566532383,0.050198533451762596,0.5922298189932259,0.3858176273995703,0.1265361301141968,0.15436721565249162,0.007937786026160154,0.6548000426743409,0.3715895695811989,-0.00026991861584313854,0.06795422778837049,-0.19725628631130931,0.09852040912963368,0.08862438943476582,0.8839672814510414,0.2524527451347087,0.03612541046676692,1.0,1.0,-0.09127025053490173,0.030331734162069416,-0.172901195308293,-0.048120948952049464,-0.05402531153960998,,,,,,0.2985892465448897,0.2099613989081826,0.0899203735668875,0.9649368829354191,0.5640463435611041
S1_service,held_out,greedy:corridor_relief,15,0.02511034844829359,0.0064485586566702885,0.011467302595771355,0.03661531020936218,0.03661531020936218,0.0474392994983879,0.01721370293270808,0.015383753271994621,0.07807360695444196,0.07807360695444196,0.010357832944198649,0.01915479098950887,0.0002964329219773513,0.08135487411448353,0.08135487411448353,-0.021467996348291236,0.0378158416967028,-0.15715721742236244,-0.0057317174391031175,-0.0057317174391031175,0.053806459550387306,0.09319552171667045,0.0,0.21522583820154922,0.21522583820154922,-0.04830423438285222,0.0014343736067578947,-0.052453814887042795,-0.04735792761838591,-0.04735792761838591,,,,,,0.07998864061711197,0.022886970240875472,0.038842633634558414,0.12423724168919742,0.12423724168919742
S1_service,held_out,greedy:coverage_restoration+redundant_overlay_line,1,-0.06878567705742665,0.0,-0.06878567705742665,-0.06878567705742665,-0.06878567705742665,0.22060700185708518,0.0,0.22060700185708518,0.22060700185708518,0.22060700185708518,0.1214549540474979,0.0,0.1214549540474979,0.1214549540474979,0.1214549540474979,0.09646879295356568,0.0,0.09646879295356568,0.09646879295356568,0.09646879295356568,0.7099391874479146,0.0,0.7099391874479146,0.7099391874479146,0.7099391874479146,-0.15430971890533526,0.0,-0.15430971890533526,-0.15430971890533526,-0.15430971890533526,,,,,,0.31570691056205297,0.0,0.31570691056205297,0.31570691056205297,0.31570691056205297
S1_service,held_out,greedy:continuity_repair,3,-0.1410858873786678,0.0677726910005576,-0.20368272638243226,-0.0469310181024133,-0.0469310181024133,0.2992755285114284,0.10321462716566802,0.15801204223706558,0.40174057929377077,0.40174057929377077,0.28680082300189835,0.12726604280886447,0.1141602052210544,0.41718224056570713,0.41718224056570713,-0.06176548700601659,0.11273520060436182,-0.1837057407394276,0.08815276559997617,0.08815276559997617,0.9859764463372965,0.019832299782462086,0.9579293390118897,1.0,1.0,-0.1604471627073578,0.047253381327970655,-0.22683702155030577,-0.12064821538009428,-0.12064821538009428,,,,,,0.48309618890361855,0.166638295953768,0.2619934994918711,0.6642710641693037,0.6642710641693037
S1_service,held_out,greedy:budget_neutral_reconfiguration+redundant_overlay_line,1,0.00431427511625322,0.0,0.00431427511625322,0.00431427511625322,0.00431427511625322,0.10444936672572777,0.0,0.10444936672572777,0.10444936672572777,0.10444936672572777,0.04801210727707277,0.0,0.04801210727707277,0.04801210727707277,0.04801210727707277,0.037247047734237745,0.0,0.037247047734237745,0.037247047734237745,0.037247047734237745,0.22727140049426928,0.0,0.22727140049426928,0.22727140049426928,0.22727140049426928,-0.14685265019223379,0.0,-0.14685265019223379,-0.14685265019223379,-0.14685265019223379,,,,,,0.19178621143032032,0.0,0.19178621143032032,0.19178621143032032,0.19178621143032032
S1_service,held_out,greedy:redundancy_restoration,3,-0.12637333279389498,0.0697692336363661,-0.19721993193861467,-0.0314757657983099,-0.0314757657983099,0.3221372088237027,0.0786663046874391,0.21604120780712008,0.4041733132020728,0.4041733132020728,0.30291673391962176,0.04902854370837575,0.24085213363253413,0.3607200293873816,0.3607200293873816,-0.09761227072356811,0.14578366273179738,-0.3001955435464167,0.03683547611316314,0.03683547611316314,1.0,0.0,1.0,1.0,1.0,-0.17505296788322122,0.09315914651982926,-0.30667843194606237,-0.10434199350011893,-0.10434199350011893,,,,,,0.546985847482349,0.05264255011121504,0.48012114414468,0.6087676384576639,0.6087676384576639
S1_service,held_out,greedy:corridor_relief+emergency_bus_bridge,1,-0.015745702079551314,0.0,-0.015745702079551314,-0.015745702079551314,-0.015745702079551314,0.49951040047993067,0.0,0.49951040047993067,0.49951040047993067,0.49951040047993067,0.46364714010147695,0.0,0.46364714010147695,0.46364714010147695,0.46364714010147695,-0.040099019085702195,0.0,-0.040099019085702195,-0.040099019085702195,-0.040099019085702195,0.38360096017935036,0.0,0.38360096017935036,0.38360096017935036,0.38360096017935036,-0.21322844516800685,0.0,-0.21322844516800685,-0.21322844516800685,-0.21322844516800685,,,,,,0.5410504701186034,0.0,0.5410504701186034,0.5410504701186034,0.5410504701186034
S1_service,held_out,do_nothing,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0
S2_energy,calibration,greedy:continuity_repair,46,-0.04214128815965736,0.07951331922390287,-0.34496137990522374,0.03195612453743273,0.022315457217673456,0.25589723283504345,0.34393274339244606,0.0,1.8410078168671873,0.6748879763969603,0.21677664332394436,0.3168022249670487,0.0,1.6761028505444056,0.749732654717612,0.07404674491582157,0.1287181312605007,-0.22162736406770023,0.4432724275462454,0.34152820542897044,0.8508888186140678,0.2875098790478499,0.0,1.0,1.0,-0.09688756689513987,0.09696689821288974,-0.48196051886325303,0.007289127057713012,-0.008373301409828808,-0.1061539286719838,0.11032903249059935,-0.5308723382575842,0.005088218072377247,-0.005586910343334949,0.2889489163321176,0.2726508267789776,-0.008730347407809803,1.3452157576568204,0.7609307962516436
S2_energy,calibration,greedy:continuity_repair+redundant_overlay_line,11,0.015033149352150076,0.04211223075115015,-0.10128863403334633,0.07247952019150272,0.07247952019150272,0.2299091807166513,0.1346673428245776,0.029343285444662394,0.5928514597773457,0.5928514597773457,0.165053541865094,0.15856575203689707,0.009578499555590559,0.6198699454705983,0.6198699454705983,0.12866422585397708,0.1184914648131716,-0.12253831375778648,0.3208540737586337,0.3208540737586337,0.9090909090909091,0.2874797872880344,0.0,1.0,1.0,-0.11506354465542534,0.05187982345062829,-0.19865254632643578,-0.018476839676489595,-0.018476839676489595,-0.124265126263363,0.05110437383544462,-0.20592035819646792,-0.0219905724201979,-0.0219905724201979,0.35603829944525484,0.18582992850311156,0.031566170083180196,0.7937670874139492,0.7937670874139492
S2_energy,calibration,do_nothing,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2_energy,calibration,greedy:redundancy_restoration,3,-0.029621512947805958,0.009122720811725892,-0.0424933711012861,-0.02242894441230092,-0.02242894441230092,0.29536275637320436,0.04220286943923481,0.23624732027855747,0.3320371586809429,0.3320371586809429,0.23571030956474046,0.050086315521096984,0.1652297785870695,0.2770603678935581,0.2770603678935581,0.18380486043533006,0.1164509981911581,0.019135064763208663,0.26817599611408055,0.26817599611408055,0.9329504106033472,0.09482243867629365,0.7988512318100416,1.0,1.0,-0.11851624472696004,0.019233683618320684,-0.14571678095438237,-0.10491597661324886,-0.10491597661324886,-0.11909936920208274,0.03233698979141244,-0.16483077873141852,-0.09623366443741484,-0.09623366443741484,0.4791897896998955,0.1335114034314404,0.2907695514262841,0.5839499148099636,0.5839499148099636
S2_energy,calibration,greedy:coverage_restoration+redundant_overlay_line,6,-0.024438294104941458,0.04869689738022743,-0.1302615309728931,0.009432940787053885,0.009432940787053885,0.18121131148216896,0.12480591503983672,0.011628473857703665,0.4138580904524598,0.4138580904524598,0.12349213579212608,0.10877170718169551,0.010986055274087575,0.3466517721452146,0.3466517721452146,0.15176864435225051,0.04497724825557503,0.10433194267309424,0.2335548098453625,0.2335548098453625,0.294161180054546,0.19910138699211427,0.038609680721821,0.5351291396317049,0.5351291396317049,-0.13209950546706106,0.06886981578976346,-0.2382047851815808,-0.06336400868300315,-0.06336400868300315,-0.1459746103341582,0.07150042796176968,-0.23775878848579335,-0.04695738360209518,-0.04695738360209518,0.1516155722952782,0.10367898790346314,-0.02459763150235491,0.30767322696278077,0.30767322696278077
S2_energy,calibration,greedy:corridor_relief+emergency_bus_bridge+extend_route_to_orphaned_stops,1,0.005122457673822588,0.0,0.005122457673822588,0.005122457673822588,0.005122457673822588,0.08890937362639562,0.0,0.08890937362639562,0.08890937362639562,0.08890937362639562,0.07430144659074342,0.0,0.07430144659074342,0.07430144659074342,0.07430144659074342,0.06878122471380707,0.0,0.06878122471380707,0.06878122471380707,0.06878122471380707,0.39812287165313115,0.0,0.39812287165313115,0.39812287165313115,0.39812287165313115,-0.11108654834187028,0.0,-0.11108654834187028,-0.11108654834187028,-0.11108654834187028,-0.11490285715258639,0.0,-0.11490285715258639,-0.11490285715258639,-0.11490285715258639,0.05339567713736601,0.0,0.05339567713736601,0.05339567713736601,0.05339567713736601
