scenario,phase,type,n,mean_improvement_att,std_improvement_att,min_improvement_att,max_improvement_att,p95_improvement_att,mean_improvement_CEF,std_improvement_CEF,min_improvement_CEF,max_improvement_CEF,p95_improvement_CEF,mean_improvement_CEF2,std_improvement_CEF2,min_improvement_CEF2,max_improvement_CEF2,p95_improvement_CEF2,mean_improvement_exposure,std_improvement_exposure,min_improvement_exposure,max_improvement_exposure,p95_improvement_exposure,mean_improvement_dun,std_improvement_dun,min_improvement_dun,max_improvement_dun,p95_improvement_dun,mean_improvement_cost,std_improvement_cost,min_improvement_cost,max_improvement_cost,p95_improvement_cost,mean_improvement_energy,std_improvement_energy,min_improvement_energy,max_improvement_energy,p95_improvement_energy,mean_reward,std_reward,min_reward,max_reward,p95_reward
S2_energy,calibration,area_closure,14,-0.07110568083656973,0.08488672306001908,-0.2919045859711115,0.03195612453743273,0.03195612453743273,0.3132835125464441,0.21510493645938605,0.0,0.7917018825332756,0.7917018825332756,0.28371075489206193,0.2115081929845991,0.0,0.679994540027008,0.679994540027008,0.10330824991636443,0.1308916066994364,-0.12253831375778648,0.4432724275462454,0.4432724275462454,0.6075267167519425,0.362188102296444,0.0,1.0,1.0,-0.15734190424089917,0.09805672986874003,-0.37228615995554115,0.0,0.0,-0.17378142348019954,0.11697368724394906,-0.4634615410522709,0.0,0.0,0.323583411140668,0.2164081097652039,0.0,0.7937670874139492,0.7937670874139492
S2_energy,calibration,combined_disruption,24,-0.044455581442617326,0.09651170161926559,-0.34496137990522374,0.04236613898886639,0.02535271832118004,0.3144882338175446,0.4500650559948697,0.0,1.8410078168671873,1.430593911600116,0.26953578668040207,0.4139557757627894,0.0,1.6761028505444056,1.2749891933653013,0.0713974574543954,0.12218808224707692,-0.22162736406770023,0.34152820542897044,0.264103520428701,0.5979272338165568,0.42027193312222555,0.0,1.0,1.0,-0.12311327034535154,0.11316201073954288,-0.48196051886325303,0.0,0.0,-0.134713958256146,0.12709113077061895,-0.5308723382575842,0.0,0.0,0.2911930313741267,0.34092794815404787,-0.02459763150235491,1.3452157576568204,0.821101944996665
S2_energy,calibration,demand_surge,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2_energy,calibration,link_failure,37,-0.00672489832060651,0.0373145268275566,-0.1987385522062503,0.04039911829410332,0.04039911829410332,0.10544345536714646,0.11830551986905219,0.0,0.43159218380879816,0.3776762729812388,0.07182013243438597,0.08940006401960997,0.0,0.3461914223456287,0.28744319023620957,0.06449425231938274,0.09863517361373844,-0.03283263548844955,0.4021115487044952,0.3100773871761758,0.8644523157857998,0.31873021793579304,0.0,1.0,1.0,-0.04091961361232652,0.041749122535517304,-0.1342887216794611,0.0,0.0,-0.044540716596466697,0.050311261976745826,-0.19591700148611638,0.0,0.0,0.16591209720983513,0.18400278282299815,-0.008730347407809803,0.5922630532865103,0.5282580265669481
S2_energy,calibration,node_removal,11,-0.005584211721657711,0.034067787595642336,-0.06945257409021684,0.07247952019150272,0.07247952019150272,0.16908661733826325,0.11740741619690301,0.0,0.32414699965844973,0.32414699965844973,0.12708665973749858,0.09951902839258792,0.0,0.28690933159242565,0.28690933159242565,0.11089719664568815,0.13199982540278596,-0.05528560703097345,0.3208540737586337,0.3208540737586337,0.6513512903691956,0.43748093371217855,0.0,1.0,1.0,-0.08340198164468406,0.060654514265702744,-0.19865254632643578,0.007289127057713012,0.007289127057713012,-0.08940188877799854,0.06380437720283845,-0.20592035819646792,0.005088218072377247,0.005088218072377247,0.2643504269275596,0.20244552526809517,0.0,0.5628499028634388,0.5628499028634388
S2_energy,held_out,link_failure,21,0.0005424041906557814,0.01546839418343737,-0.03134516412903254,0.04039911829410332,0.025640959491153345,0.08258951433062556,0.0787502619036759,0.0,0.27486051566350395,0.20130181418301288,0.04783866950411173,0.04832451213364201,0.0,0.1503729185175287,0.11480545327242181,0.0471948691696003,0.07669018075856575,-0.052792705355041734,0.21820049037038972,0.19963771642323666,0.7301702530945989,0.38154131553292964,0.0,1.0,1.0,-0.043235571405223744,0.03842350058303632,-0.14087318115297853,0.0,0.0,-0.04866330344985766,0.04464177580260705,-0.1528260471282115,0.0,0.0,0.12026140180388181,0.12946253712081163,-0.024875962990622003,0.38879134795516923,0.35906243933047055
S2_energy,held_out,node_removal,6,-0.03160929909909381,0.061612975097168475,-0.14723026556221133,0.061465809664196035,0.061465809664196035,0.2446931087764401,0.09175970051600674,0.08843159371343809,0.35119091018221105,0.35119091018221105,0.19681357804179378,0.09163158076548333,0.06494092924790912,0.3267062066471698,0.3267062066471698,0.1023071656138218,0.10269529735985904,-0.03987425141130118,0.26817599611408055,0.26817599611408055,0.9491284383313857,0.11375227001259404,0.6947706299883146,1.0,1.0,-0.13486389561668932,0.06080072558879891,-0.21283478271468784,-0.03222647795420275,-0.03222647795420275,-0.15901909553882015,0.08580994945397472,-0.30242828334869976,-0.0366082161819162,-0.0366082161819162,0.3231746126418262,0.12981236152384,0.16245681706061738,0.5628499028634388,0.5628499028634388
S2_energy,held_out,demand_surge,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2_energy,held_out,combined_disruption,8,-0.05757876241177454,0.09055024486378434,-0.2918449608703526,-0.0011764170550981365,-0.0011764170550981365,0.28040814116731344,0.379713056629322,0.010153800638729202,1.238578160874431,1.238578160874431,0.24971420762316504,0.355607491650055,0.012842942496173033,1.1529998632484104,1.1529998632484104,0.08761235876782578,0.12401087717509461,-0.11183579617435604,0.2598790320843709,0.2598790320843709,0.9427314732037775,0.1274990287280704,0.6107141598818151,1.0,1.0,-0.1160981560654556,0.10244664828498318,-0.3179550788513065,-0.015394997716177158,-0.015394997716177158,-0.12886827888892302,0.11582252525787162,-0.35280498991308834,-0.01833085547870887,-0.01833085547870887,0.23169107170370157,0.18353562934439382,-0.018056274617313045,0.49782618059560724,0.49782618059560724
S2_energy,held_out,area_closure,4,-0.027914028333177698,0.0460805231575742,-0.10746928936029908,0.003006463794097297,0.003006463794097297,0.10430907870085485,0.08453958350139869,0.0,0.20541749865650433,0.20541749865650433,0.10104325668613803,0.09121046991796425,0.0,0.2201538766186851,0.2201538766186851,0.08542794508674662,0.14952033931085498,-0.027445281172413384,0.34225755787500434,0.34225755787500434,0.5406121114598099,0.4629642743580353,0.0,1.0,1.0,-0.052087271869337606,0.04305952078756037,-0.09733000413339493,0.0,0.0,-0.061415598542342804,0.045804388617610166,-0.1176413523172759,0.0,0.0,0.15687951505537223,0.15436001392343845,0.0,0.39947356987254395,0.39947356987254395
