scenario,type,location,severity,n,mean_att,std_att,min_att,max_att,p95_att,mean_CEF,std_CEF,min_CEF,max_CEF,p95_CEF,mean_dun,std_dun,min_dun,max_dun,p95_dun,mean_gc,std_gc,min_gc,max_gc,p95_gc,mean_cost,std_cost,min_cost,max_cost,p95_cost,mean_energy,std_energy,min_energy,max_energy,p95_energy,mean_vkm,std_vkm,min_vkm,max_vkm,p95_vkm,mean_vh,std_vh,min_vh,max_vh,p95_vh,mean_invalid_edges,std_invalid_edges,min_invalid_edges,max_invalid_edges,p95_invalid_edges,mean_delta_att,std_delta_att,min_delta_att,max_delta_att,p95_delta_att,mean_delta_CEF,std_delta_CEF,min_delta_CEF,max_delta_CEF,p95_delta_CEF,mean_delta_dun,std_delta_dun,min_delta_dun,max_delta_dun,p95_delta_dun,mean_delta_gc,std_delta_gc,min_delta_gc,max_delta_gc,p95_delta_gc,mean_delta_cost,std_delta_cost,min_delta_cost,max_delta_cost,p95_delta_cost,mean_delta_energy,std_delta_energy,min_delta_energy,max_delta_energy,p95_delta_energy,mean_delta_vkm,std_delta_vkm,min_delta_vkm,max_delta_vkm,p95_delta_vkm,mean_delta_vh,std_delta_vh,min_delta_vh,max_delta_vh,p95_delta_vh,mean_pct_delta_att,std_pct_delta_att,min_pct_delta_att,max_pct_delta_att,p95_pct_delta_att,mean_pct_delta_CEF,std_pct_delta_CEF,min_pct_delta_CEF,max_pct_delta_CEF,p95_pct_delta_CEF,mean_pct_delta_gc,std_pct_delta_gc,min_pct_delta_gc,max_pct_delta_gc,p95_pct_delta_gc,mean_pct_delta_cost,std_pct_delta_cost,min_pct_delta_cost,max_pct_delta_cost,p95_pct_delta_cost,mean_pct_delta_energy,std_pct_delta_energy,min_pct_delta_energy,max_pct_delta_energy,p95_pct_delta_energy
R0_reference,combined_disruption,peripheral + central_area,severe,1,16.60561638653476,0.0,16.60561638653476,16.60561638653476,16.60561638653476,0.8655406580411255,0.0,0.8655406580411255,0.8655406580411255,0.8655406580411255,19.0179074228257,0.0,19.0179074228257,19.0179074228257,19.0179074228257,24.858320088849425,0.0,24.858320088849425,24.858320088849425,24.858320088849425,29547.502558342287,0.0,29547.502558342287,29547.502558342287,29547.502558342287,,,,,,18629.374929927857,0.0,18629.374929927857,18629.374929927857,18629.374929927857,813.5557008000001,0.0,813.5557008000001,813.5557008000001,813.5557008000001,0.0,0.0,0.0,0.0,0.0,-1.1800118343299317,0.0,-1.1800118343299317,-1.1800118343299317,-1.1800118343299317,-0.3321431370822222,0.0,-0.3321431370822222,-0.3321431370822222,-0.3321431370822222,19.0179074228257,0.0,19.0179074228257,19.0179074228257,19.0179074228257,7.072691867984734,0.0,7.072691867984734,7.072691867984734,7.072691867984734,-2554.3423855540714,0.0,-2554.3423855540714,-2554.3423855540714,-2554.3423855540714,,,,,,-921.4386099425901,0.0,-921.4386099425901,-921.4386099425901,-921.4386099425901,-100.95508319999999,0.0,-100.95508319999999,-100.95508319999999,-100.95508319999999,-0.06634636795936369,0.0,-0.06634636795936369,-0.06634636795936369,-0.06634636795936369,-0.27732122487973987,0.0,-0.27732122487973987,-0.27732122487973987,-0.27732122487973987,0.39766331445563513,0.0,0.39766331445563513,0.39766331445563513,0.39766331445563513,-0.07956995587070574,0.0,-0.07956995587070574,-0.07956995587070574,-0.07956995587070574,,,,,
R0_reference,node_removal,peripheral,severe,2,17.340498096759,0.18754209772444597,17.152955999034553,17.528040194483445,17.528040194483445,1.046959058257151,0.08016004904232005,0.966799009214831,1.127119107299471,1.127119107299471,8.531898039560424,3.9558226158869356,4.576075423673489,12.48772065544736,12.48772065544736,20.98758213604395,1.5159930269477826,19.47158910909617,22.503575162991734,22.503575162991734,30754.830534048204,747.090425557255,30007.740108490947,31501.920959605457,31501.920959605457,,,,,,18704.08710756025,587.3076639465653,18116.779443613686,19291.394771506817,19291.394771506817,877.3089360000001,15.402460800000142,861.9064751999999,892.7113968000002,892.7113968000002,0.0,0.0,0.0,0.0,0.0,-0.44513012410569175,0.18754209772444597,-0.6326722218301377,-0.2575880263812458,-0.2575880263812458,-0.15072473686619664,0.08016004904232005,-0.2308847859085167,-0.07056468782387659,-0.07056468782387659,8.531898039560424,3.9558226158869356,4.576075423673489,12.48772065544736,12.48772065544736,3.20195391517926,1.5159930269477826,1.6859608882314774,4.717946942127043,4.717946942127043,-1347.014409848156,747.090425557255,-2094.104835405411,-599.923984290901,-599.923984290901,,,,,,-846.7264323101954,587.3076639465653,-1434.0340962567607,-259.4187683636301,-259.4187683636301,-37.201847999999984,15.402460800000142,-52.604308800000126,-21.799387199999842,-21.799387199999842,-0.02502751764390871,0.010544586640152322,-0.03557210428406103,-0.014482931003756387,-0.014482931003756387,-0.12584685330127032,0.06692922570106619,-0.1927760790023365,-0.058917627600204144,-0.058917627600204144,0.1800304085645387,0.0852369681926298,0.09479344037190891,0.2652673767571685,0.2652673767571685,-0.04196065404347636,0.02327250744818335,-0.06523316149165971,-0.018688146595293016,-0.018688146595293016,,,,,
R0_reference,area_closure,central_area,severe,1,15.708968934360291,0.0,15.708968934360291,15.708968934360291,15.708968934360291,0.7193515394923177,0.0,0.7193515394923177,0.7193515394923177,0.7193515394923177,43.072518600906335,0.0,43.072518600906335,43.072518600906335,43.072518600906335,34.78623152864116,0.0,34.78623152864116,34.78623152864116,34.78623152864116,24925.73088077033,0.0,24925.73088077033,24925.73088077033,24925.73088077033,,,,,,14154.889434962914,0.0,14154.889434962914,14154.889434962914,14154.889434962914,755.6566296,0.0,755.6566296,755.6566296,755.6566296,0.0,0.0,0.0,0.0,0.0,-2.0766592865044,0.0,-2.0766592865044,-2.0766592865044,-2.0766592865044,-0.47833225563103,0.0,-0.47833225563103,-0.47833225563103,-0.47833225563103,43.072518600906335,0.0,43.072518600906335,43.072518600906335,43.072518600906335,17.00060330777647,0.0,17.00060330777647,17.00060330777647,17.00060330777647,-7176.114063126028,0.0,-7176.114063126028,-7176.114063126028,-7176.114063126028,,,,,,-5395.924104907534,0.0,-5395.924104907534,-5395.924104907534,-5395.924104907534,-158.85415440000008,0.0,-158.85415440000008,-158.85415440000008,-158.85415440000008,-0.11676052488650515,0.0,-0.11676052488650515,-0.11676052488650515,-0.11676052488650515,-0.3993810867097582,0.0,-0.3993810867097582,-0.3993810867097582,-0.3993810867097582,0.955861839495369,0.0,0.955861839495369,0.955861839495369,0.955861839495369,-0.2235421071800563,0.0,-0.2235421071800563,-0.2235421071800563,-0.2235421071800563,,,,,
R0_reference,combined_disruption,any_road + peripheral_area,moderate,1,17.676594277316447,0.0,17.676594277316447,17.676594277316447,17.676594277316447,1.119656846358321,0.0,1.119656846358321,1.119656846358321,1.119656846358321,8.59655917514001,0.0,8.59655917514001,8.59655917514001,8.59655917514001,21.31495089520153,0.0,21.31495089520153,21.31495089520153,21.31495089520153,31850.208122640848,0.0,31850.208122640848,31850.208122640848,31850.208122640848,,,,,,19389.29519730106,0.0,19389.29519730106,19389.29519730106,19389.29519730106,907.7095535999999,0.0,907.7095535999999,907.7095535999999,907.7095535999999,0.0,0.0,0.0,0.0,0.0,-0.10903394354824414,0.0,-0.10903394354824414,-0.10903394354824414,-0.10903394354824414,-0.0780269487650267,0.0,-0.0780269487650267,-0.0780269487650267,-0.0780269487650267,8.59655917514001,0.0,8.59655917514001,8.59655917514001,8.59655917514001,3.5293226743368393,0.0,3.5293226743368393,3.5293226743368393,3.5293226743368393,-251.63682125550986,0.0,-251.63682125550986,-251.63682125550986,-251.63682125550986,,,,,,-161.51834256938673,0.0,-161.51834256938673,-161.51834256938673,-161.51834256938673,-6.801230400000122,0.0,-6.801230400000122,-6.801230400000122,-6.801230400000122,-0.006130452193998643,0.0,-0.006130452193998643,-0.006130452193998643,-0.006130452193998643,-0.06514820446158814,0.0,-0.06514820446158814,-0.06514820446158814,-0.06514820446158814,0.19843677324799341,0.0,0.19843677324799341,0.19843677324799341,0.19843677324799341,-0.00783870278157812,0.0,-0.00783870278157812,-0.00783870278157812,-0.00783870278157812,,,,,
R0_reference,combined_disruption,peripheral_area + any_road,moderate,1,17.739699317814893,0.0,17.739699317814893,17.739699317814893,17.739699317814893,1.1706762513577587,0.0,1.1706762513577587,1.1706762513577587,1.1706762513577587,3.707417100131074,0.0,3.707417100131074,3.707417100131074,3.707417100131074,19.30646493187303,0.0,19.30646493187303,19.30646493187303,19.30646493187303,31967.163650723443,0.0,31967.163650723443,31967.163650723443,31967.163650723443,,,,,,19512.3111334043,0.0,19512.3111334043,19512.3111334043,19512.3111334043,908.7397080000001,0.0,908.7397080000001,908.7397080000001,908.7397080000001,0.0,0.0,0.0,0.0,0.0,-0.045928903049798464,0.0,-0.045928903049798464,-0.045928903049798464,-0.045928903049798464,-0.027007543765589004,0.0,-0.027007543765589004,-0.027007543765589004,-0.027007543765589004,3.707417100131074,0.0,3.707417100131074,3.707417100131074,3.707417100131074,1.5208367110083394,0.0,1.5208367110083394,1.5208367110083394,1.5208367110083394,-134.6812931729146,0.0,-134.6812931729146,-134.6812931729146,-134.6812931729146,,,,,,-38.502406466148386,0.0,-38.502406466148386,-38.502406466148386,-38.502406466148386,-5.771075999999994,0.0,-5.771075999999994,-5.771075999999994,-5.771075999999994,-0.0025823604586493218,0.0,-0.0025823604586493218,-0.0025823604586493218,-0.0025823604586493218,-0.02254981145737848,0.0,-0.02254981145737848,-0.02254981145737848,-0.02254981145737848,0.08550930516045614,0.0,0.08550930516045614,0.08550930516045614,0.08550930516045614,-0.004195437782728498,0.0,-0.004195437782728498,-0.004195437782728498,-0.004195437782728498,,,,,
